Step,AgentID,State,Stand,Type
18,A3,SCHEDULED,,
18,A4,SCHEDULED,,
18,A5,SCHEDULED,,
18,A6,SCHEDULED,,
18,A7,SCHEDULED,,
18,A8,SCHEDULED,,
18,A9,SCHEDULED,,
18,A10,SCHEDULED,,
19,A1,PARKED,C30,PLB
19,A2,PARKED,C31,PLB
19,A3,SCHEDULED,,
19,A4,SCHEDULED,,
19,A5,SCHEDULED,,
19,A6,SCHEDULED,,
19,A7,SCHEDULED,,
19,A8,SCHEDULED,,
19,A9,SCHEDULED,,
19,A10,SCHEDULED,,
20,A1,PARKED,C30,PLB
20,A2,PARKED,C31,PLB
20,A3,SCHEDULED,,
20,A4,SCHEDULED,,
20,A5,SCHEDULED,,
20,A6,SCHEDULED,,
20,A7,SCHEDULED,,
20,A8,SCHEDULED,,
20,A9,SCHEDULED,,
20,A10,SCHEDULED,,
21,A1,PARKED,C30,PLB
21,A2,PARKED,C31,PLB
21,A3,SCHEDULED,,
21,A4,SCHEDULED,,
21,A5,SCHEDULED,,
21,A6,SCHEDULED,,
21,A7,SCHEDULED,,
21,A8,SCHEDULED,,
21,A9,SCHEDULED,,
21,A10,SCHEDULED,,
22,A1,PARKED,C30,PLB
22,A2,PARKED,C31,PLB
22,A3,SCHEDULED,,
22,A4,SCHEDULED,,
22,A5,SCHEDULED,,
22,A6,SCHEDULED,,
22,A7,SCHEDULED,,
22,A8,SCHEDULED,,
22,A9,SCHEDULED,,
22,A10,SCHEDULED,,
23,A1,PARKED,C30,PLB
23,A2,PARKED,C31,PLB
23,A3,SCHEDULED,,
23,A4,SCHEDULED,,
23,A5,SCHEDULED,,
23,A6,SCHEDULED,,
23,A7,SCHEDULED,,
23,A8,SCHEDULED,,
23,A9,SCHEDULED,,
23,A10,SCHEDULED,,
24,A1,PARKED,C30,PLB
24,A2,PARKED,C31,PLB
24,A3,SCHEDULED,,
24,A4,SCHEDULED,,
24,A5,SCHEDULED,,
24,A6,SCHEDULED,,
24,A7,SCHEDULED,,
24,A8,SCHEDULED,,
24,A9,SCHEDULED,,
24,A10,SCHEDULED,,
25,A1,PARKED,C30,PLB
25,A2,PARKED,C31,PLB
25,A3,SCHEDULED,,
25,A4,SCHEDULED,,
25,A5,SCHEDULED,,
25,A6,SCHEDULED,,
25,A7,SCHEDULED,,
25,A8,SCHEDULED,,
25,A9,SCHEDULED,,
25,A10,SCHEDULED,,
26,A1,PARKED,C30,PLB
26,A2,PARKED,C31,PLB
26,A3,PARKED,C32,PLB
26,A4,SCHEDULED,,
26,A5,SCHEDULED,,
26,A6,SCHEDULED,,
26,A7,SCHEDULED,,
26,A8,SCHEDULED,,
26,A9,SCHEDULED,,
26,A10,SCHEDULED,,
27,A1,PARKED,C30,PLB
27,A2,PARKED,C31,PLB
27,A3,PARKED,C32,PLB
27,A4,SCHEDULED,,
27,A5,SCHEDULED,,
27,A6,SCHEDULED,,
27,A7,SCHEDULED,,
27,A8,SCHEDULED,,
27,A9,SCHEDULED,,
27,A10,SCHEDULED,,
28,A1,PARKED,C30,PLB
28,A2,PARKED,C31,PLB
28,A3,PARKED,C32,PLB
28,A4,SCHEDULED,,
28,A5,SCHEDULED,,
28,A6,SCHEDULED,,
28,A7,SCHEDULED,,
28,A8,SCHEDULED,,
28,A9,SCHEDULED,,
28,A10,SCHEDULED,,
29,A1,PARKED,C30,PLB
